Location,Type of crash,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Intersection,Pedestrian,"1,611","1,528","1,527","1,375","1,308","1,245","1,138","1,082","1,085","1,067","1,004",955,919,789,650,726,707,562,623,618,636,610,517,293,168,174,195,110,123,504,603,645,691,534,520,645,732
Intersection,Parked,271,260,275,281,219,244,268,269,235,227,203,206,209,165,171,147,471,579,502,125,115,103,74,56,31,22,31,16,40,82,53,52,227,175,193,207,412
Intersection,Animal,440,386,364,308,300,227,205,202,207,167,163,140,124,108,99,85,97,129,115,125,119,107,57,15,2,1,6,15,11,38,41,32,37,36,24,42,25
Intersection,Fixed object,"10,934","10,274","10,799","10,766","10,370","9,625","9,655","9,522","9,667","9,488","9,045","9,231","9,143","8,428","7,664","7,532","7,423","5,746","5,553","5,159","5,277","5,135","3,419","1,380",422,382,379,75,429,"2,150","2,131","2,144","2,262","2,106","2,177","2,339","2,030"
Intersection,Loose object,448,413,395,443,352,351,335,382,329,303,327,275,272,237,211,187,174,65,47,48,30,28,22,10,7,7,11,1,1,467,406,405,420,332,302,393,345
Intersection,Frontal,"29,006","29,386","28,608","29,082","25,344","24,368","24,440","22,601","21,880","20,139","19,120","19,650","18,278","16,560","13,922","12,779","10,960","10,920","10,224","9,512","9,578","7,680","6,787","3,028","1,364","1,265","1,084",324,33,"1,940","1,771","1,935","1,998","1,587","1,851","2,245","2,036"
Intersection,Lateral,"45,970","46,221","46,724","46,733","41,548","42,495","42,098","42,032","42,557","42,068","43,516","44,560","42,961","37,199","31,399","30,643","29,315","25,134","23,856","23,720","24,167","21,379","15,648","5,630","1,955","1,875","1,913",676,50,"19,382","18,935","18,863","19,978","17,072","17,840","20,510","19,372"
Intersection,Rear-end,"36,791","36,421","35,843","35,371","30,973","30,394","30,507","28,543","28,855","27,892","27,782","28,768","26,306","23,257","19,788","18,556","16,915","13,848","13,052","12,634","12,717","9,587","6,800","2,080",598,570,594,173,7,"4,433","4,153","4,348","4,468","3,672","3,876","4,287","3,892"
Intersection,Single vehicle,"1,769","1,589","1,734","1,803","1,892","1,870","1,910","1,916","2,257","1,922","2,033","2,761","3,434","3,380","3,928","2,842","1,955","2,593","2,891","2,316","2,074","1,563",784,263,76,53,51,41,26,"2,202","1,358","1,384","1,518","1,279","1,256","1,851","1,857"
Intersection,Unknown,687,716,719,749,680,795,803,728,825,803,814,"1,184","1,376","1,242","1,214",909,772,306,343,197,138,111,12,678,604,540,"6,345","22,948","32,208","3,897","3,953","4,111","4,029","3,500","3,686","4,427","3,956"
Road section,Pedestrian,"3,366","3,421","3,490","3,526","3,125","3,179","2,842","3,005","2,714","2,676","2,706","2,807","2,803","2,382","2,202","2,004","1,725","1,617","1,556","1,433","1,559","1,331","1,161",657,303,291,284,144,251,"1,150","1,479","1,561","1,371","1,156","1,173","1,389","1,409"
Road section,Parked,"1,974","2,020","2,012","2,153","1,965","2,083","2,065","2,015","2,037","1,943","1,972","1,994","2,085","1,854","1,686","1,548","7,378","6,158","6,343","1,044","1,430","1,101",954,509,225,221,241,147,155,421,499,493,"2,475","2,187","2,185","2,325","4,033"
Road section,Animal,"4,337","4,167","4,019","4,007","3,916","4,023","3,852","3,459","3,253","3,884","3,500","3,267","3,259","2,783","2,710","2,660","2,480","2,566","2,499","2,439","2,464","2,044","1,407",232,28,29,57,428,165,752,768,636,537,576,546,495,511
Road section,Fixed object,"24,397","23,138","23,696","24,250","24,836","24,044","24,342","25,120","25,766","26,642","26,451","28,894","29,876","27,506","26,620","24,244","23,303","21,985","20,269","17,236","17,515","16,450","11,244","4,266","1,201","1,099","1,225",337,"1,628","8,036","8,652","7,722","7,425","6,844","6,556","7,007","7,101"
Road section,Loose object,"3,175","2,978","3,021","3,056","2,531","2,741","2,641","2,784","2,893","3,184","3,237","3,186","3,265","2,789","2,557","2,162","1,971",666,252,178,149,217,113,67,21,18,21,7,10,"1,111","1,064",982,973,879,845,968,"1,023"
Road section,Frontal,"12,373","12,366","12,171","12,033","10,937","10,163","10,095","9,687","9,600","9,064","9,137","9,344","9,011","8,016","7,114","6,174","5,492","5,878","5,138","4,729","4,830","4,161","3,967","1,890",789,659,594,206,48,"2,490","2,576","2,520","2,430","2,100","2,245","2,747","2,726"
Road section,Lateral,"24,365","24,325","24,862","25,178","23,609","23,154","22,955","22,719","23,500","24,237","25,337","27,327","27,456","23,629","20,740","19,001","17,962","16,893","14,659","13,856","14,145","12,188","8,674","3,107",919,789,709,236,30,"8,979","10,015","10,076","9,351","7,542","8,291","9,235","10,368"
Road section,Rear-end,"28,919","29,927","30,110","30,651","28,636","29,323","29,333","29,358","29,948","30,200","32,646","36,389","36,252","32,590","29,182","26,038","23,980","22,469","19,670","19,455","19,646","15,507","11,428","3,467","1,244","1,021","1,082",311,22,"14,289","14,567","14,358","14,134","9,295","10,727","12,020","13,835"
Road section,Single vehicle,"6,602","6,381","6,157","6,712","6,477","6,415","6,660","6,955","7,322","7,189","6,810","8,164","8,348","7,377","7,639","6,326","5,556","8,336","7,965","7,080","6,734","5,262","3,160","1,118",363,269,198,112,79,"5,062","4,888","4,457","4,686","3,978","4,201","4,960","5,897"
Road section,Unknown,960,931,902,906,806,846,901,822,892,821,862,"1,042","1,146",938,"1,122",865,642,363,425,147,127,121,16,"82,474","85,952","90,068","87,140","68,286","77,973","47,607","46,018","51,501","55,607","38,728","45,725","43,944","52,445"
