measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Road injuries,Number,2003,1255983.0338241975,1298376.4818670745,1213087.06879456
Deaths,Global,Both,All ages,Road injuries,Number,2006,1282290.1331553014,1327096.7440344887,1238233.8361841692
Deaths,Global,Both,All ages,Road injuries,Number,2008,1299495.6634869275,1345151.4248228285,1253171.343876514
Deaths,Global,Both,All ages,Road injuries,Number,2001,1207428.521807151,1253752.3878658074,1161079.1912493638
Deaths,Global,Both,All ages,Road injuries,Number,2004,1275797.7527193124,1321312.5526846868,1228962.9772843027
Deaths,Global,Both,All ages,Road injuries,Number,2007,1290709.4641103637,1335067.1680386597,1245335.408354523
Deaths,Global,Both,All ages,Road injuries,Number,2005,1285392.346322709,1332779.4231813692,1241200.6372250628
Deaths,Global,Both,All ages,Road injuries,Number,2010,1294072.360785644,1343063.7353097778,1246044.6042593583
Deaths,Global,Both,All ages,Road injuries,Number,2011,1287536.971954926,1337986.5502381637,1235205.1815507438
Deaths,Global,Both,All ages,Road injuries,Number,2009,1293642.2901664157,1337201.983377308,1241862.0922807544
Deaths,Global,Both,All ages,Road injuries,Number,2012,1277507.507504097,1334065.5497998432,1225613.6962734552
Deaths,Global,Both,All ages,Road injuries,Number,2015,1231628.3476905907,1292762.5384716897,1171890.7985230163
Deaths,Global,Both,All ages,Road injuries,Number,2013,1260771.777686579,1313433.2850618283,1205841.801027424
Deaths,Global,Both,All ages,Road injuries,Number,2018,1210291.1928960476,1277258.958396994,1143217.4869262
Deaths,Global,Both,All ages,Road injuries,Number,2014,1247745.9539193327,1303610.155339775,1189106.8193040933
Deaths,Global,Both,All ages,Road injuries,Number,2016,1224631.9929978007,1286626.2099396863,1167440.503799695
Deaths,Global,Both,All ages,Road injuries,Number,2019,1204761.0884525634,1280062.817302006,1139361.7215484264
Deaths,Global,Both,All ages,Road injuries,Number,2017,1217703.6412927245,1280467.0420178212,1156089.506987811
Deaths,Global,Both,All ages,Road injuries,Number,2002,1230442.0879624675,1272509.4718975457,1184162.9818607713
Deaths,Global,Both,All ages,Road injuries,Number,2020,1192129.223973994,1272283.0256003654,1121747.630910597
Deaths,Global,Both,All ages,Road injuries,Number,2021,1195697.0619967494,1275660.8471424337,1118222.0226030438
Incidence,Global,Both,All ages,Road injuries,Number,2001,54811458.36779002,61240303.88885184,49098430.69245498
Incidence,Global,Both,All ages,Road injuries,Number,2002,54611537.19900864,60949251.73847152,48924406.526246384
Incidence,Global,Both,All ages,Road injuries,Number,2003,54362157.78858241,60538376.589096464,48708444.56978864
Incidence,Global,Both,All ages,Road injuries,Number,2004,54135641.27776353,60163194.28255224,48506328.58994357
Incidence,Global,Both,All ages,Road injuries,Number,2005,54013441.7274559,59997267.64668298,48423145.34929138
Incidence,Global,Both,All ages,Road injuries,Number,2006,53940521.65188937,60003804.856396526,48394146.16395204
Incidence,Global,Both,All ages,Road injuries,Number,2007,53829305.20993039,59938247.40810011,48348224.6326825
Incidence,Global,Both,All ages,Road injuries,Number,2008,53718922.38597464,59764769.30496133,48277526.53322973
Incidence,Global,Both,All ages,Road injuries,Number,2009,53615232.68505768,59576575.1264407,48192215.43142296
Incidence,Global,Both,All ages,Road injuries,Number,2010,53484570.11594572,59382588.823351175,48084572.56983238
Incidence,Global,Both,All ages,Road injuries,Number,2011,53198040.90759382,59006498.81804787,47857768.90560416
Incidence,Global,Both,All ages,Road injuries,Number,2012,52721852.06651592,58370390.54153742,47492673.70991322
Incidence,Global,Both,All ages,Road injuries,Number,2013,52169916.8799372,57635891.56020466,47099324.45784317
Incidence,Global,Both,All ages,Road injuries,Number,2014,51645535.73767915,56991463.173951656,46687151.0214144
Incidence,Global,Both,All ages,Road injuries,Number,2015,51276176.88989447,56529140.6869731,46358357.06738065
Incidence,Global,Both,All ages,Road injuries,Number,2016,50885315.43350513,56082778.08993664,46056987.44549754
Incidence,Global,Both,All ages,Road injuries,Number,2017,50365918.44066358,55422057.75315052,45619542.35242827
Incidence,Global,Both,All ages,Road injuries,Number,2018,49931730.89741737,54846818.374816194,45277205.08304912
Incidence,Global,Both,All ages,Road injuries,Number,2019,49801760.358556256,54619978.69875841,45212523.1705308
Incidence,Global,Both,All ages,Road injuries,Number,2020,49991427.51054482,54872312.860156335,45412356.37326237
Incidence,Global,Both,All ages,Road injuries,Number,2021,50245674.40399134,55170661.36224371,45645819.18214315
