Crash type,Year,Fatal crashes,Injury-only crashes,Property-damage-only crashes
Veh-NonVeh,2009,"16,770","397,842","1,152,344"
Veh-NonVeh,2010,"16,534","391,824","1,053,351"
Veh-NonVeh,2011,"16,529","391,354","1,031,926"
Veh-NonVeh,2012,"17,112","421,009","1,076,612"
Veh-NonVeh,2013,"16,589","395,308","1,139,154"
Veh-NonVeh,2014,"16,266","398,327","1,153,987"
Veh-NonVeh,2015,"17,172","405,159","1,169,910"
Veh-NonVeh,2016,"18,307","508,609","1,242,549"
Veh-NonVeh,2017,"17,899","437,241","1,164,524"
Veh-NonVeh,2018,"17,456","426,352","1,184,952"
Veh-NonVeh,2019,"17,098","408,820","1,132,608"
Veh-NonVeh,2020,"19,026","434,902","1,056,271"
Veh-NonVeh,2021,"20,413","419,389","1,154,374"
Veh-NonVeh,2022,"20,254","394,490","1,110,180"
Veh-NonVeh,2023,"19,011","394,291","1,128,784"
Rear-End,2009,"1,467","236,227","645,267"
Rear-End,2010,"1,278","235,810","619,308"
Rear-End,2011,"1,408","247,051","571,762"
Rear-End,2012,"1,387","267,682","611,172"
Rear-End,2013,"1,412","261,915","634,470"
Rear-End,2014,"1,518","276,705","683,659"
Rear-End,2015,"1,775","297,442","736,836"
Rear-End,2016,"1,881","344,010","734,155"
Rear-End,2017,"1,976","332,461","794,894"
Rear-End,2018,"1,966","319,906","794,242"
Rear-End,2019,"1,887","306,931","789,801"
Rear-End,2020,"1,945","222,836","485,683"
Rear-End,2021,"2,404","266,567","648,469"
Rear-End,2022,"2,260","229,621","572,052"
Rear-End,2023,"2,154","236,296","592,189"
Head-On,2009,"2,668","27,891","28,356"
Head-On,2010,"2,523","29,115","28,850"
Head-On,2011,"2,397","25,697","20,635"
Head-On,2012,"2,567","24,752","19,481"
Head-On,2013,"2,494","26,361","19,393"
Head-On,2014,"2,483","24,432","27,058"
Head-On,2015,"2,850","25,191","25,672"
Head-On,2016,"3,062","32,913","27,613"
Head-On,2017,"3,065","27,587","24,867"
Head-On,2018,"3,172","28,863","25,126"
Head-On,2019,"3,160","26,111","24,632"
Head-On,2020,"3,154","22,945","15,967"
Head-On,2021,"3,794","30,224","26,141"
Head-On,2022,"3,669","28,923","21,766"
Head-On,2023,"3,644","26,250","23,420"
Angle,2009,"2,061","106,488","340,586"
Angle,2010,"1,949","98,675","296,045"
Angle,2011,"1,861","88,950","239,826"
Angle,2012,"1,852","86,122","232,757"
Angle,2013,"1,864","94,414","219,727"
Angle,2014,"1,778","97,401","237,141"
Angle,2015,"1,886","95,232","241,165"
Angle,2016,"1,919","115,219","247,310"
Angle,2017,"1,982","102,031","220,425"
Angle,2018,"1,949","103,689","242,976"
Angle,2019,"1,857","104,449","242,741"
Angle,2020,"1,916","88,863","203,883"
Angle,2021,"2,115","100,034","213,195"
Angle,2022,"2,073","86,488","210,773"
Angle,2023,"2,019","79,812","200,320"
Sideswipe,2009,711,"48,986","284,005"
Sideswipe,2010,794,"50,216","297,587"
Sideswipe,2011,711,"53,735","307,873"
Sideswipe,2012,707,"64,798","318,350"
Sideswipe,2013,675,"63,095","364,481"
Sideswipe,2014,713,"74,090","392,074"
Sideswipe,2015,747,"73,593","425,406"
Sideswipe,2016,837,"86,392","438,753"
Sideswipe,2017,828,"87,481","457,958"
Sideswipe,2018,786,"90,724","471,178"
Sideswipe,2019,804,"93,003","479,228"
Sideswipe,2020,822,"79,378","357,865"
Sideswipe,2021,"1,049","90,756","502,432"
Sideswipe,2022,946,"82,364","463,105"
Sideswipe,2023,848,"89,149","495,355"
Other,2009,105,136,"2,586"
Other,2010,72,"2,898","26,809"
Other,2011,79,"4,485","55,154"
Other,2012,92,"6,930","61,476"
Other,2013,82,"6,448","58,254"
Other,2014,79,"7,300","78,168"
Other,2015,83,"8,806","71,744"
Other,2016,96,"11,574","69,802"
Other,2017,109,"8,300","74,977"
Other,2018,104,"9,359","67,925"
Other,2019,105,"8,658","63,030"
Other,2020,102,"6,390","53,599"
Other,2021,120,"5,944","59,346"
Other,2022,89,"5,701","62,475"
Other,2023,93,"5,946","56,363"
Unknown,2009,32,,
Unknown,2010,18,,
Unknown,2011,24,,
Unknown,2012,26,,
Unknown,2013,28,,
Unknown,2014,41,,
Unknown,2015,37,,
Unknown,2016,47,,
Unknown,2017,38,,
Unknown,2018,38,,
Unknown,2019,41,,
Unknown,2020,44,,
Unknown,2021,53,,
Unknown,2022,50,,
Unknown,2023,48,,
