Location,Country,Year,Number of accidents,Killed,Injured
Motorways,Albania,1993,0,0,0
Motorways,Albania,1994,0,0,0
Motorways,Albania,1995,0,0,0
Motorways,Albania,1996,0,0,0
Motorways,Albania,1997,0,0,0
Motorways,Albania,1998,0,0,0
Motorways,Albania,1999,0,,
Motorways,Albania,2000,0,,
Motorways,Albania,2001,0,,
Motorways,Albania,2002,0,,
Motorways,Albania,2003,0,,
Motorways,Albania,2004,,,
Motorways,Albania,2005,8,2,9
Motorways,Albania,2006,35,13,35
Motorways,Albania,2007,35,18,31
Motorways,Albania,2008,4,3,3
Motorways,Albania,2009,14,3,17
Motorways,Albania,2010,56,25,49
Motorways,Albania,2011,39,14,58
Motorways,Albania,2012,67,27,88
Motorways,Albania,2013,69,13,97
Motorways,Albania,2014,22,13,29
Motorways,Albania,2015,54,13,78
Motorways,Albania,2016,53,11,67
Motorways,Albania,2017,23,4,34
Motorways,Albania,2018,21,3,36
Motorways,Albania,2019,31,13,42
Motorways,Albania,2020,38,9,47
Motorways,Albania,2021,62,22,99
Motorways,Albania,2022,56,16,68
Motorways,Andorra,1993,,,
Motorways,Andorra,1994,,,
Motorways,Andorra,1995,,,
Motorways,Andorra,1996,0,0,0
Motorways,Andorra,1997,,,
Motorways,Andorra,1998,,,
Motorways,Andorra,1999,0,0,0
Motorways,Andorra,2000,0,0,0
Motorways,Andorra,2001,0,0,0
Motorways,Andorra,2002,0,0,0
Motorways,Andorra,2003,,,
Motorways,Andorra,2004,,,
Motorways,Andorra,2005,,,
Motorways,Andorra,2006,,,
Motorways,Andorra,2007,,,
Motorways,Andorra,2008,,,
Motorways,Andorra,2009,,,
Motorways,Andorra,2010,,,
Motorways,Andorra,2011,,,
Motorways,Andorra,2012,,,
Motorways,Andorra,2013,,,
Motorways,Andorra,2014,,,
Motorways,Andorra,2015,,,
Motorways,Andorra,2016,,,
Motorways,Andorra,2017,,,
Motorways,Andorra,2018,,,
Motorways,Andorra,2019,,,
Motorways,Andorra,2020,,,
Motorways,Andorra,2021,,,
Motorways,Andorra,2022,,,
Motorways,Armenia,1993,,,
Motorways,Armenia,1994,,,
Motorways,Armenia,1995,,,
Motorways,Armenia,1996,,,
Motorways,Armenia,1997,,,
Motorways,Armenia,1998,,,
Motorways,Armenia,1999,,,
Motorways,Armenia,2000,364,74,573
Motorways,Armenia,2001,401,130,594
Motorways,Armenia,2002,375,132,524
Motorways,Armenia,2003,410,146,557
Motorways,Armenia,2004,490,152,726
Motorways,Armenia,2005,577,185,908
Motorways,Armenia,2006,,,
Motorways,Armenia,2007,,,
Motorways,Armenia,2008,857,225,1495
Motorways,Armenia,2009,,,
Motorways,Armenia,2010,,,
Motorways,Armenia,2011,,,
Motorways,Armenia,2012,,,
Motorways,Armenia,2013,,,
Motorways,Armenia,2014,,,
Motorways,Armenia,2015,,,
Motorways,Armenia,2016,,,
Motorways,Armenia,2017,,,
Motorways,Armenia,2018,,,
Motorways,Armenia,2019,,,
Motorways,Armenia,2020,,,
Motorways,Armenia,2021,,,
Motorways,Armenia,2022,,,
Motorways,Austria,1993,2351,149,3645
Motorways,Austria,1994,2294,179,3552
Motorways,Austria,1995,2294,169,3606
Motorways,Austria,1996,2400,107,3763
Motorways,Austria,1997,2287,124,3630
Motorways,Austria,1998,2374,154,3657
Motorways,Austria,1999,2096,139,3328
Motorways,Austria,2000,2268,126,3695
Motorways,Austria,2001,2279,156,3603
Motorways,Austria,2002,2277,126,3754
Motorways,Austria,2003,2417,106,3823
Motorways,Austria,2004,2339,118,3561
Motorways,Austria,2005,2198,89,3491
Motorways,Austria,2006,2014,74,3234
Motorways,Austria,2007,1976,74,3036
Motorways,Austria,2008,1677,71,2756
