track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P2,248,24800,pedestrian/bicycle,971.687,1008.646,3.318,-0.48
P2,249,24900,pedestrian/bicycle,972.019,1008.601,3.332,-0.425
P2,250,25000,pedestrian/bicycle,972.354,1008.561,3.35,-0.367
P2,251,25100,pedestrian/bicycle,972.69,1008.527,3.373,-0.305
P2,252,25200,pedestrian/bicycle,973.028,1008.5,3.403,-0.24
P2,253,25300,pedestrian/bicycle,973.37,1008.479,3.435,-0.174
P2,254,25400,pedestrian/bicycle,973.715,1008.465,3.456,-0.106
P2,255,25500,pedestrian/bicycle,974.061,1008.458,3.463,-0.039
P2,256,25600,pedestrian/bicycle,974.407,1008.457,3.455,0.026
P2,257,25700,pedestrian/bicycle,974.751,1008.463,3.435,0.091
P2,258,25800,pedestrian/bicycle,975.093,1008.476,3.41,0.158
P2,259,25900,pedestrian/bicycle,975.433,1008.495,3.387,0.228
P2,260,26000,pedestrian/bicycle,975.771,1008.521,3.366,0.301
P2,261,26100,pedestrian/bicycle,976.107,1008.555,3.352,0.378
P2,262,26200,pedestrian/bicycle,976.442,1008.597,3.346,0.46
P2,263,26300,pedestrian/bicycle,976.776,1008.647,3.346,0.543
P2,264,26400,pedestrian/bicycle,977.111,1008.706,3.348,0.626
P2,265,26500,pedestrian/bicycle,977.446,1008.772,3.348,0.706
P2,266,26600,pedestrian/bicycle,977.78,1008.847,3.343,0.782
P2,267,26700,pedestrian/bicycle,978.115,1008.929,3.338,0.854
P2,268,26800,pedestrian/bicycle,978.448,1009.017,3.335,0.917
P2,269,26900,pedestrian/bicycle,978.782,1009.111,3.338,0.968
P2,270,27000,pedestrian/bicycle,979.116,1009.21,3.345,1.004
P2,271,27100,pedestrian/bicycle,979.451,1009.311,3.348,1.026
P2,272,27200,pedestrian/bicycle,979.785,1009.414,3.343,1.031
P2,273,27300,pedestrian/bicycle,980.119,1009.517,3.332,1.02
P2,274,27400,pedestrian/bicycle,980.451,1009.618,3.316,0.994
P2,275,27500,pedestrian/bicycle,980.782,1009.715,3.296,0.951
P2,276,27600,pedestrian/bicycle,981.111,1009.807,3.275,0.897
P2,277,27700,pedestrian/bicycle,981.437,1009.894,3.258,0.835
P2,278,27800,pedestrian/bicycle,981.763,1009.974,3.251,0.77
P2,279,27900,pedestrian/bicycle,982.088,1010.048,3.261,0.705
P2,280,28000,pedestrian/bicycle,982.416,1010.115,3.293,0.646
P2,281,28100,pedestrian/bicycle,982.748,1010.177,3.35,0.597
P2,282,28200,pedestrian/bicycle,983.087,1010.236,3.433,0.565
P2,283,28300,pedestrian/bicycle,983.435,1010.291,3.524,0.552
P2,284,28400,pedestrian/bicycle,983.791,1010.347,3.601,0.555
P2,285,28500,pedestrian/bicycle,984.155,1010.404,3.66,0.579
P2,286,28600,pedestrian/bicycle,984.523,1010.463,3.702,0.621
P2,287,28700,pedestrian/bicycle,984.894,1010.529,3.73,0.685
P2,288,28800,pedestrian/bicycle,985.268,1010.602,3.755,0.772
P2,289,28900,pedestrian/bicycle,985.645,1010.684,3.777,0.879
P2,290,29000,pedestrian/bicycle,986.023,1010.778,3.789,0.996
P2,291,29100,pedestrian/bicycle,986.401,1010.883,3.772,1.111
P2,292,29200,pedestrian/bicycle,986.776,1011,3.725,1.222
P2,293,29300,pedestrian/bicycle,987.146,1011.128,3.661,1.34
P2,294,29400,pedestrian/bicycle,987.508,1011.269,3.591,1.472
P2,295,29500,pedestrian/bicycle,987.864,1011.423,3.517,1.615
P2,296,29600,pedestrian/bicycle,988.211,1011.592,3.434,1.765
